dataacc	gtype	temp	ztime	runid	age	bname
181RS14	COL	22C	ZT12	181R	unknown	181R-Q-862-Col-ZT12-22C_S14
181RS19	COL	27C	ZT12	181R	unknown	181R-Q-867-Col-ZT12-27C_S19
184RS10	COL	27C	ZT12	184R	unknown	184R-Q-910-Col-ZT12-27C_S10
178RS16	ELF3 X ELF4-OX	22C	ZT12	178R	unknown	178R-736-elf3-1-x-ELF4-ox-1463-ZT12-22C_S16
177RS6	ELF3 X ELF4-OX	27C	ZT12	177R	unknown	177R-742-elf3-1-x-ELF4-ox-1463-ZT12-27C_S6
181RS12	ELF3-OX BD	22C	ZT12	181R	unknown	181R-Q-860-4196-ZT12-22C_S12
181RS17	ELF3-OX BD	27C	ZT12	181R	unknown	181R-Q-865-4196-ZT12-27C_S17
184RS18	ELF3-OX BD	27C	ZT12	184R	unknown	184R-Q-919-4196-ZT12-27C_S18
181RS11	ELF3-OX POTATO	22C	ZT12	181R	unknown	181R-Q-859-4195-ZT12-22C_S11
181RS16	ELF3-OX POTATO	27C	ZT12	181R	unknown	181R-Q-864-4195-ZT12-27C_S16
178RS14	ELF4	22C	ZT12	178R	unknown	178R-734-elf4-2-ZT12-22C_S14
177RS4	ELF4	27C	ZT12	177R	unknown	177R-740-elf4-2-ZT12-27C_S4
177RS2	ELF4 X ELF3-OX	22C	ZT12	177R	unknown	177R-738-elf4-2-x-ELF3-ox-1481-ZT12-22C_S2
177RS8	ELF4 X ELF3-OX	27C	ZT12	177R	unknown	177R-744-elf4-2-x-ELF3-ox-1481-ZT12-27C_S8
178RS15	ELF4-OX	22C	ZT12	178R	unknown	178R-735-ELF4-ox-1462-ZT12-22C_S15
177RS5	ELF4-OX	27C	ZT12	177R	unknown	177R-741-ELF4-ox-1462-ZT12-27C_S5
177RS21	Q0-15	22C	ZT12	177R	unknown	177R-758-Q0-15-ZT12-22C_S21
177RS10	Q0-15	27C	ZT12	177R	unknown	177R-764-Q0-15-ZT12-27C_S10
184RS11	Q0-15	27C	ZT12	184R	unknown	184R-Q-911-Q0-15-1497-ZT12-27C_S11
177RS20	Q0-2	22C	ZT12	177R	unknown	177R-757-Q0-2-ZT12-22C_S20
178RS18	Q0-2	27C	ZT12	178R	unknown	178R-763-Q0-2-ZT12-27C_S18
178RS17	Q21-23	22C	ZT12	178R	unknown	178R-762-Q21-23-ZT12-22C_S17
178RS23	Q21-23	27C	ZT12	178R	unknown	178R-768-Q21-23-ZT12-27C_S23
177RS24	Q21-7	22C	ZT12	177R	unknown	177R-761-Q21-7-ZT12-22C_S24
178RS22	Q21-7	27C	ZT12	178R	unknown	178R-767-Q21-7-ZT12-27C_S22
184RS15	Q21-7	27C	ZT12	184R	unknown	184R-Q-915-Q21-7-1501-ZT12-27C_S15
177RS23	Q7-17	22C	ZT12	177R	unknown	177R-760-Q7-17-ZT12-22C_S23
177RS22	Q7-6	22C	ZT12	177R	unknown	177R-759-Q7-6-ZT12-22C_S22
178RS20	Q7-6	27C	ZT12	178R	unknown	178R-765-Q7-6-ZT12-27C_S20
