DataAcc,ZTIME,GTYPE,TEMP,IN_HEATMAP,IN_BOXPLOT
181RS27,ZT12,1487,27C,1,1
181RS14,ZT12,COL,22C,1,1
184RS10,ZT12,COL,27C,1,1
181RS19,ZT12,COL,27C,1,1
181RS24,ZT12,COL,27C,1,1
181RS26,ZT12,COL,27C,1,1
181RS13,ZT12,ELF3,22C,1,1
177RS3,ZT12,ELF3,27C,1,1
184RS9,ZT12,ELF3,27C,1,1
181RS23,ZT12,ELF3,27C,1,1
178RS16,ZT12,ELF3 X ELF4-OX,22C,1,1
177RS6,ZT12,ELF3 X ELF4-OX,27C,1,1
184RS6,ZT12,ELF3-OX AT,12C,1,1
177RS1,ZT12,ELF3-OX AT,22C,1,1
181RS15,ZT12,ELF3-OX AT,22C,1,1
177RS7,ZT12,ELF3-OX AT,27C,1,1
181RS20,ZT12,ELF3-OX AT,27C,1,1
181RS25,ZT12,ELF3-OX AT,27C,1,1
184RS8,ZT12,ELF3-OX BD,12C,1,1
181RS12,ZT12,ELF3-OX BD,22C,1,1
184RS18,ZT12,ELF3-OX BD,27C,1,1
181RS17,ZT12,ELF3-OX BD,27C,1,1
181RS22,ZT12,ELF3-OX BD,27C,1,1
184RS7,ZT12,ELF3-OX POTATO,12C,1,1
181RS11,ZT12,ELF3-OX POTATO,22C,1,1
181RS16,ZT12,ELF3-OX POTATO,27C,1,1
178RS14,ZT12,ELF4,22C,1,1
177RS4,ZT12,ELF4,27C,1,1
177RS2,ZT12,ELF4 X ELF3-OX,22C,1,1
177RS8,ZT12,ELF4 X ELF3-OX,27C,1,1
178RS15,ZT12,ELF4-OX,22C,1,1
177RS5,ZT12,ELF4-OX,27C,1,1
177RS21,ZT12,Q0-15,22C,1,1
177RS10,ZT12,Q0-15,27C,1,1
184RS11,ZT12,Q0-15,27C,1,1
177RS20,ZT12,Q0-2,22C,1,1
178RS18,ZT12,Q0-2,27C,1,1
184RS1,ZT12,Q0-XX,12C,1,1
184RS5,ZT12,Q21-23,12C,1,1
178RS17,ZT12,Q21-23,22C,1,1
178RS23,ZT12,Q21-23,27C,1,1
184RS4,ZT12,Q21-7,12C,1,1
177RS24,ZT12,Q21-7,22C,1,1
178RS22,ZT12,Q21-7,27C,1,1
184RS15,ZT12,Q21-7,27C,1,1
184RS3,ZT12,Q7-17,12C,1,1
177RS23,ZT12,Q7-17,22C,1,1
184RS2,ZT12,Q7-6,12C,1,1
177RS22,ZT12,Q7-6,22C,1,1
178RS20,ZT12,Q7-6,27C,1,1
181RS4,ZT8,COL,22C,1,1
181RS9,ZT8,COL,27C,1,1
178RS1,ZT8,ELF3,22C,1,1
181RS3,ZT8,ELF3,22C,1,1
178RS7,ZT8,ELF3,27C,1,1
181RS8,ZT8,ELF3,27C,1,1
178RS4,ZT8,ELF3 X ELF4-OX,22C,1,1
178RS10,ZT8,ELF3 X ELF4-OX,27C,1,1
178RS5,ZT8,ELF3-OX AT,22C,1,1
181RS5,ZT8,ELF3-OX AT,22C,1,1
178RS11,ZT8,ELF3-OX AT,27C,1,1
181RS10,ZT8,ELF3-OX AT,27C,1,1
181RS2,ZT8,ELF3-OX BD,22C,1,1
181RS7,ZT8,ELF3-OX BD,27C,1,1
181RS1,ZT8,ELF3-OX POTATO,22C,1,1
181RS6,ZT8,ELF3-OX POTATO,27C,1,1
178RS2,ZT8,ELF4,22C,1,1
178RS8,ZT8,ELF4,27C,1,1
178RS6,ZT8,ELF4 X ELF3-OX,22C,1,1
178RS12,ZT8,ELF4 X ELF3-OX,27C,1,1
178RS3,ZT8,ELF4-OX,22C,1,1
178RS9,ZT8,ELF4-OX,27C,1,1
178RS19,ZT8,Q0-15,22C,1,1
177RS15,ZT8,Q0-15,27C,1,1
177RS9,ZT8,Q0-2,22C,1,1
177RS14,ZT8,Q0-2,27C,1,1
178RS24,ZT8,Q21-23,22C,1,1
177RS13,ZT8,Q21-7,22C,1,1
177RS18,ZT8,Q21-7,27C,1,1
177RS12,ZT8,Q7-17,22C,1,1
177RS17,ZT8,Q7-17,27C,1,1
177RS16,ZT8,Q7-6,27C,1,1
