DataAcc	ZTIME	GTYPE	TEMP	IN_HEATMAP
184RS6	ZT12	ELF3-OX AT	12C	NA
184RS8	ZT12	ELF3-OX BD	12C	NA
184RS7	ZT12	ELF3-OX POTATO	12C	NA
177RS1	ZT12	ELF3-OX AT	22C	1
181RS15	ZT12	ELF3-OX AT	22C	NA
181RS12	ZT12	ELF3-OX BD	22C	1
181RS11	ZT12	ELF3-OX POTATO	22C	1
177RS7	ZT12	ELF3-OX AT	27C	1
181RS20	ZT12	ELF3-OX AT	27C	NA
181RS25	ZT12	ELF3-OX AT	27C	NA
184RS18	ZT12	ELF3-OX BD	27C	NA
181RS17	ZT12	ELF3-OX BD	27C	NA
181RS22	ZT12	ELF3-OX BD	27C	1
181RS16	ZT12	ELF3-OX POTATO	27C	1
181RS14	ZT12	COL	22C	1
181RS13	ZT12	ELF3	22C	1
178RS14	ZT12	ELF4	22C	1
178RS15	ZT12	ELF4-OX	22C	1
178RS16	ZT12	ELF3 X ELF4-OX	22C	1
177RS2	ZT12	ELF4 X ELF3-OX	22C	1
184RS10	ZT12	COL	27C	1
181RS19	ZT12	COL	27C	NA
181RS24	ZT12	COL	27C	NA
181RS26	ZT12	COL	27C	NA
181RS27	ZT12	ELF3pro-BdELF31487	27C	1
177RS3	ZT12	ELF3	27C	1
184RS9	ZT12	ELF3	27C	NA
181RS23	ZT12	ELF3	27C	NA
177RS6	ZT12	ELF3 X ELF4-OX	27C	1
